Section,Status,Content Complexity,"Section Heading (Must be in UPPERCASE, UNDERLINED BLACK FONT)",Sub-section,Required or Optional? (can the section be omitted if not relevant to the protocol),Section Instructions (HIGHLIGHTED in template),"Required Text (BLACK in template) Sections requiring study-specific content are noted with {{ }}, with more details noted in the Section Instructions column.","Suggested Text Output (BLUE FONT IN TEMPLATE) -should align with suggested text as much as possible, with study-specific modifications to language.",Questions from project team,Minimal Risk Template Mapping,Mapping to UHN Protocol Template Section,Mapping to sponsor protocol template,Build Plan/Key Decisions,Notes
21.1,Not Started,"[""Complex mapping"",""Not in protocol - requires manual entry""]",HOW WILL PARTICIPANT INFORMATION BE KEPT CONFIDENTIAL?,N/A,Required,"Note: Should there be disclosure of personal identifiers, i.e., disclosed on any research-related information/documents including samples or scans, or as part of the unique identifier, these disclosures must be justified in the REB application and accepted by the REB. 

If other organizations have permission to receive study data, indicate this (in addition to the list for direct access), and include a brief description of their role in the research. 

If race/ethnicity information is collected as part of the study, identify this and provide a rationale.

If the study involves a focus group/interview, include a statement on confidentiality measures. 

If it involves a video/audio recording, describe confidentiality measures (who will have access, how long, where recordings will be retained). 

If identifiable data are to be sent outside the institution, or the study uses a third party to perform study related activities, indicate who will be involved, for what purpose, and what identifyable data would be included. 

If the study is a Health Canada regulated study, include a statement about the retention of PHI for 15 years. If the study is NOT Health Canada regulated, retention period is 10 years. 
","If you decide to participate in this study, the research team will only collect the information they need for this study.

Your data will be shared as described in this consent form and/or as required by law and/or applicable research regulations. Records identifying you at this Centre will be kept confidential and, to the extent permitted by applicable laws, will not be disclosed or made publicly available.

Authorized representatives of the following organizations may come to the hospital or be given remote access to an electronic portal (via Internet) to look at your original (identifiable) medical/clinical study records at the site where these records are held, to check that the information collected for the study is correct and follows proper laws and guidelines. When using the electronic portal, we will share your medical record number using a secure method, so that your records are included as part of their review.
• Representatives of the University Health network, including the UHN Research Ethics Board who oversees the ethical conduct of this study at UHN 
• {{insert organizations requiring permission for direct access to participant medical records containing identifying information, and include a brief description of their role in the research. Example: Health Canada because they oversee the use of natural health products/drugs/devices in Canada}}

These individuals have completed privacy training and signed confidentiality agreements and/or are required by law to keep your information confidential. 

Whether on-site or remotely, UHN makes all efforts to ensure that your information is shared in a way that is secure and private (encrypted). However, any electronic communication carries some risk of third parties gaining unauthorized access to information.

Information that is collected about you for the study (called study data) may also be sent to the organizations listed above. Any information about you that is sent out of the hospital will have a number and will not show any information that directly identifies you. The records received by these organizations will contain your  {{disclose identifiers, e.g. participant code, sex and year of birth}}. 

If the results of this study are published, your identity will remain confidential. It is expected that the information collected during this study will be {{include description of proposed uses of data e.g. scientific community presentations, submissions to regulatory authorities}}.

Even though the likelihood that someone may identify you from the study data is very small, it can never be completely eliminated. 

The study doctor will keep any personal health information about you in a secure and confidential location for {{if study is Health Canada regulated, indicate 15 years; otherwise, 10 years}} as required. 

Your participation in this study will also be recorded in your medical record at this hospital. ","<<If organizations have permission to receive study data (NOT direct access), include a brief description of their role in the research>>
The following organizations may also receive study data:

<<If race/ethnicity information is collected as part of the study>> 
Studies involving humans sometimes collect information on race and ethnicity as well as other characteristics of individuals because these characteristics may influence how people respond to different interventions. Providing information on your race or ethnic origin is {{voluntary/required}}.

<<If an autopsy report is being provided to the sponsor, include the following>>
This study does not require that an autopsy be performed.  However, if an autopsy is performed for other reasons, and a copy of the report is provided to the study doctor, this report will be sent to the study sponsor as part of the study data collected for this study.  This report may contain other health information that is not required for study purposes. 

<<If health information is being collected for other research/database>>
In addition to the data that will be collected for this study, the researchers will also be collecting the following personal health information: {{List all additional information being collected}}

These additional data are being collected to {{insert purpose}}. This additional information is not required for the purpose of this study, but for other research interests at {{insert organization name}}.



",,Minor difference in text,"Direct Access to Source Data/Documents AND/OR Data Handling and Record Keeping

Context for some fields (i.e. focus group or audio/video recordings) can be found throughout the protocol, such as the Study Design. 

Identification of Health Canada regulated study: not typically in the protocol, though may be mentioned in investigator initiated protocols","Direct Access to Source Data/Documents AND/OR Data Handling and Record Keeping OR Data Protection

Context for some fields (i.e. focus group or audio/video recordings) can be found throughout the protocol, such as the Study Design. 

Identification of Health Canada regulated study: not typically in the protocol, though may be mentioned in investigator initiated protocols",,
21.2,Not Started,"[""Potentially in protocol""]",HOW WILL PARTICIPANT INFORMATION BE KEPT CONFIDENTIAL?,Research Information in Shared Clinical Records ,Required,"If data or samples will be sent outside of Canada, indicate this. 

For studies using smartphones, apps or applicable technology to collect the study data, specify the data to be collected and describe the security of the device/application (third party involvement in managing the device/application; whether any data will be kept by the third party (if yes, for how long and for what purposes)). ","If you participate in this study, information about you from this research project may be stored in your hospital file and in the UHN computer system.  The UHN shares the patient information stored on its computers with other hospitals and health care providers in Ontario so they can access the information if it is needed for your clinical care.  The study team can tell you what information about you will be stored electronically and may be shared outside of the UHN.  If you have any concerns about this, or have any questions, please contact the UHN Privacy Office at 416-340-4800, x6937 (or by email at privacy@uhn.ca).","<<If data or samples are to be sent outside of Canada>>
Any information {{and/or samples}} sent outside of Canadian borders may increase the risk of disclosure of information because the laws in other countries dealing with protection of information may not be as strict as in Canada. However, all study data {{and/or samples}} that are transferred outside of Canada will be coded. This means they will not contain your personal identifying information such as your name, address, medical health number or contact information. 

<<For studies using smartphones, apps or applicable technology to collect the study data>>
Data collected using the {{insert app/tool/device name}} reside on the {{insert name}} and no assurance can be made about their confidentiality or that they will only be used for research purposes.
",,Same as minimal risk,"Direct Access to Source Data/Documents AND/OR Data Handling and Record Keeping OR Data Protection

Context for some fields (i.e.smartphone or app use) may be found throughout the protocol, such as the Study Design. 

Otherwise, it will require manual entry. ","Direct Access to Source Data/Documents AND/OR Data Handling and Record Keeping OR Data Protection

Context for some fields (i.e.smartphone or app use) may be found throughout the protocol, such as the Study Design. 

Otherwise, it will require manual entry. ",,
21.3,Not Started,"[""Potentially in protocol""]",HOW WILL PARTICIPANT INFORMATION BE KEPT CONFIDENTIAL?,Other Future Research,"Optional, include if relevant",,N/A - see suggested text,"<<If it is mandatory for de-identified data or samples be used or shared for future research, include>>
Your coded {{study data and/or coded samples}} may be used or shared with other researchers (inside and outside of Canada) for future studies.  “Coded” means that directly identifying information (such as your name and date of birth) will be replaced by a number, which will be applied to the {{study data and/or samples}}. The code matching your {{study data and/or samples}} with your name and other directly identifying study data will be kept by the UHN study team.  
This may include storing the {{coded study data and/or samples}} in 
- Controlled-access {{databases/biobanks}}.  Access to them is limited to researcher(s) who submit a study plan and who sign an agreement to use the coded study data and/or coded samples only for that research. 
- Open access, publicly accessible databases.  Only very limited coded study data may be placed in such databases. The goal of sharing is to make more research possible. 

You will not be asked if you agree to take part in future research studies using your {{study data and/or samples}}. You or your study doctor will not be told what type of research will be done. You will not be given reports or other information about any research that is done with your {{study data and/or samples}}.

<<If focus group/interview>>:
During the discussions, participants will be encouraged to refrain from using names.  If names or other identifying information is shared during the discussion, it will not be included in the written records.  

<<If video/audio recording, describe confidentiality measures such as access controls and retention period>>
The video/audio recordings will be stored in a secure location and viewed only by members of the research team.  The recordings will be kept until they have been transcribed (turned into written records), and then they will be destroyed.",,Not in Minimal Risk template,"Context may be found throughout the protocol, such as the Study Design. Otherwise, manual entry by user required. ","Context may be found throughout the protocol, such as the Study Design. Otherwise, manual entry by user required. ",,
22,Not Started,"[""Not in protocol - requires manual entry""]",WILL FAMILY DOCTORS/HEALTH CARE PROVIDERS KNOW WHO IS PARTICIPATING IN THIS STUDY?,N/A,Required,,N/A - see suggested text,"Your family doctor/health care provider {{will/may}} be informed that you are taking part in a study so that you can be provided with appropriate medical care. If you do not want your family doctor/health care provider to be informed, please discuss this with the study team.
OR
Your family doctor/health care provider will not be informed by the study team that you are taking part in the study.  You can choose to let your family doctor/health care provider know, if you like.  
",Any instructions for this section? What would indicate whether this section is applicable?,Different - it's a required section in the standard template,Typically not found in protocol. ,Typically not found in protocol. ,,
23,Not Started,"[""Moderate mapping complexity""]",WILL INFORMATION ABOUT THIS STUDY BE AVAILABLE?,N/A,Required,Study results will be shared with you if/when they become available after the entire study is completed. It is expected that this may take a number of years. The results will be shared with you based on your preferred communication method indicated in UHN's medical record system. Please talk to your study doctor if you have any questions about the results. ,"<For clinical trials (Do NOT modify text)>
A description of this clinical trial will be available on http://www.clinicaltrials.gov, as required by U.S. Law. This website will not include information that can identify you. At most, the website will include a summary of the results. You can search this website at any time.
",Study results will be shared with you if/when they become available after the entire study is completed. It is expected that this may take a number of years. The results will be shared with you based on your preferred communication method indicated in UHN's medical record system. Please talk to your study doctor if you have any questions about the results. ,,Different required information for clinical trials. ,"Identification of whether the study is a clinical trial is usually in the protocol summary, but may be elsewhere in the protocol. ","Identification of whether the study is a clinical trial is usually in the protocol summary, but may be elsewhere in the protocol. ",,
24,Not Started,"[""Not in protocol - requires manual entry""]",WHAT IS THE COST TO PARTICIPANTS?,N/A,Required,Inform the participant of any anticipated expenses associated with participation in the study. ,N/A - see suggested text,"<<Include if the intervention is supplied for free>>
The {{insert name(s) of product/agent/device/intervention}} will be supplied at no charge while you take part in this study.  

<<Include if participants who are benefiting from the experimental intervention will continue to receive the intervention after the study is finished. Wording may be altered.>>
After the study is completed, if the study doctor feels that you are benefiting from the experimental intervention, you will continue to be provided with {{insert name(s) of product/agent/device}}.
 
<<If applicable, include if participants who are benefiting from the experimental intervention will NOT continue to receive the intervention after the study is finished. Wording may be altered>>
You will not be able to receive the study {{specify intervention}} after your participation in the study is completed. There are several possible reasons for this, some of which are: 
•	The intervention may not turn out to be effective or safe.
•	The intervention may not be approved for use in Canada.
•	Your caregivers may not feel it is the best option for you.

The study doctor will talk to you about your options.

<<If participation could result in additional costs, justify such costs to the REB and include an explanation of these potential costs.  Ensure that examples of extra costs are consistent with the research project>>
Taking part in this study may result in added costs to you.  For example:
•	There may be costs associated with hospital visits.  For example, parking or transportation, or snacks/meals during your stay.
•	You may miss work as a result of participation in this study.

<<OR If participation will not result in any costs, include the following>>
Participation in this study will not involve any additional costs to you or your private health care insurance.
",,Different/additional options for text,Typically not found in protocol.,Typically not found in protocol.,,
25,Not Started,"[""Not in protocol - requires manual entry""]",ARE STUDY PARTICIPANTS PAID TO BE IN THIS STUDY? ,N/A,Required,"Describe compensation provided to participants, or state if no compensation is provided.  ",N/A - see suggested text,"<<If there is no payment for participation>>
You will not be paid for taking part in this study.

<<If participants are receiving any token of appreciation>>
If you decide to participate in this study, you will receive {{specify amount and, if applicable, the interval (e.g. every three months)}}

<<If there is re-imbursement of costs for participation>>
If you decide to participate in this study, you will be reimbursed {{specify actual or maximum dollar amount}} for some study related expenses such as {{list reimbursable study-related expenses}}.  

<<If receipts or other documentation is required for re-imbursement, this must be justified to the REB and must be described>>
You will need to provide your receipts for {{insert expense types e.g., parking}} to the research staff in order to be reimbursed.
",,Same as minimal risk,Typically not found in protocol.,Typically not found in protocol.,,
26,Not Started,"[""Not in protocol - requires manual entry""]",WHAT WILL HAPPEN IF PARTICIPANT IS INJURED DURING THE STUDY?,N/A,Required,"Describe next steps in case of research-related injury. 

This section shall not have qualifiers that suggest that a patient&#39;s rights to care could potentially be compromised in the event of study related injury and should only include the standard UHN wording.  

Examples of Unacceptable Wording:
• “If you are treated according to the protocol, you will be covered by insurance held by the sponsor for medical costs arising from any study-related injury.”
• “If you suffer any side effect or other physical injury resulting directly from the study drug, the Sponsor will pay for the reasonable costs of medical treatment to the extent permitted by the law of your country if:
o You took the study drug as directed by the Study Doctor and your injury was not deliberately caused.  
o The Study Doctor was immediately notified about your injury, and the medical advice of the Study Doctor was followed.”

The above statements and similar statements will not be approved for the following reasons: 
• The word &quot;protocol&quot; is not meaningful to participants because they do not have access to the protocol.  Therefore, it is not appropriate to refer to it.
• The above statements suggest a participant’s rights to care could potentially be compromised in the event of study related injury.
• Protocol deviations may occur during a study.  Since deviations are procedures that occur &quot;NOT according to the protocol&quot; the language is suggesting that participants are held responsible for actions that may be outside of their control.  Therefore, in the event of a protocol deviation resulting in a negative consequence or harm to the participant, someone (not the participant) needs to be held responsible.  (That someone would be the sponsor or the site - this must be dealt with at the contract level, not the consent form level).
• Due to the nature of harm, the study doctor cannot always be notified immediately.
","In the case of research-related side effects or injury, medical care will be provided by {{specify e.g., your doctor; you will be referred for appropriate medical care}}.",,,"Different required section, plus examples of unacceptable wording.",Typically not found in protocol.,Typically not found in protocol.,,
27,Not Started,"[""Easy mapping complexity"",""Potentially in protocol""]",COMMERCIALISATION,N/A,Required,,N/A - see suggested text,"<<If applicable (alter as needed to fit the research):>>
It is possible that the research conducted using your samples and/or study data may eventually lead to the development of new diagnostic tests, new drugs or devices, or other commercial products. 

<<If participants will not share in commercial profit>>
There are no plans to provide payment to you if this happens.

<<If participants will share in commercial profits>>
If this happens, you will receive {{describe the participant’s share in commercial profit}}.
",,Different required section,Commercialization,Potentially not found in protocol.,,
28,Not Started,"[""Easy - Standard text, no mapping required""]",WHAT ARE THE RIGHTS OF PARTICIPANTS IN A RESEARCH STUDY?,N/A,Required,,"You will be told, in a timely manner, about new information that may be relevant to your willingness to stay in this study.

Your rights to privacy are legally protected by federal and provincial laws that require safeguards to ensure that your privacy is respected.

By signing this form you do not give up any of your legal rights against the study doctor, sponsor or involved institutions for compensation, nor does this form relieve the study doctor, sponsor or their agents of their legal and professional responsibilities.
",,,Same as minimal risk,N/A - standard required text,N/A - standard required text,,
29,Not Started,"[""Not in protocol - requires manual entry""]",WHAT IF RESEARCHERS DISCOVER SOMETHING ABOUT A RESEARCH PARTICIPANT?,N/A,"Optional, include if relevant","If incidental findings are anticipated as a result of the study, include this section and address what information will be provided to participants. Indicate the anticipated incidental findings and the anticipated management plan. ",N/A - see suggested text,"During the study, the researchers may learn something about you that they didn’t expect.  For example, the researchers may {{insert anticipated incidental findings e.g. find out that you have another medical condition}}. 

<<Describe anticipated management plan>>
If any new clinically important information about your health is obtained as a result of your participation in this study, you will be informed.
OR
If any new information relevant to your or your relatives’ health is obtained as a result of your participation in this study, you will be given the opportunity to decide whether you wish to be made aware of that information.
",,Same as minimal risk,Typically not found in protocol.,Typically not found in protocol.,,
30,Not Started,"[""Not in protocol - requires manual entry""]",DATA SAFETY MONITORING,N/A,"Optional, include if relevant",,N/A - see suggested text,"A Data Safety Monitoring Board is a group of experts who will be reviewing the data throughout this research study to see if there are unexpected or more serious side effects than described in this form. The experts in the group {{are/are not }} employees of the sponsor, the study doctor or the hospital/clinic.",,Not in Minimal Risk template,Typically not found in protocol.,Typically not found in protocol.,,
31,Not Started,"[""Not in protocol - requires manual entry""]",WHOM DO PARTICIPANTS CONTACT FOR QUESTIONS?,N/A,Required,,"If you have questions about taking part in this study, or if you suffer a research-related injury, you can talk to your study doctor, or the doctor who is in charge of the study at this institution. That person is: {{insert person&#39;s name and phone number}}. 
_____________________                     _______________________
              Name                                                   Telephone Number

If you have questions about your rights as a participant or about ethical issues related to this study, call the Chair of the University Health Network Research Ethics Board (UHN REB) or the Research Ethics office number at 416-581-7849.  The REB is a group of people who oversee the ethical conduct of research studies. The UHN REB is not involved in the study at all. Everything that you discuss will be kept confidential.  

You will be given a copy of this signed and dated consent form prior to participating in this study. {{include if relevant: &quot;A copy of the consent form that you sign to enter the study may be included in your health record/hospital chart.&quot;}}",,"Does the formatting of the contact name and phone number have to be exactly as is within the template? 

What in the protocol would indicate that a copy of the consent form will be included in the health record? Exclude unless it&#39;s explicit in the protocol?
",Changed - minor change to text,Typically not found in protocol.,Typically not found in protocol.,,
32,Not Started,"[""Easy mapping complexity""]",Consent Signature Page (there is no header for this section),N/A,Required,"Update the title.

There are a few line items (in blue) that are to be included if applicable to the study. 
•""and transfer of specimens"" 
• My family doctor/health care provider {{will/may}} be informed of study participation ",See attached for signature section.,,,Same as minimal risk,,,,
18.3,Not Started,"[""Complex mapping"",""Potentially in protocol""]",,,,,,,,,,,,
